placeholder,type,name,met
"pl","Sports","Softball, practice",4.0,
"pl","Sports","Softball, officiating",4.0,
"pl","Sports","Softball, pitching",6.0,
"pl","Sports","Sports spectator, very excited, emotional, physically moving",3.3,
"pl","Sports","Squash (Taylor Code 530)",12.0,
"pl","Sports","Squash, general",7.3,
"pl","Sports","Table tennis, ping pong (Taylor Code 410)",4.0,
"pl","Sports","Tai chi, qi gong, general",3.3,
"pl","Sports","Tai chi, qi gong, sitting, light effort",1.5,
"pl","Sports","Tai chi chuan, Yang style",6.0,
"pl","Sports","Tennis, general, moderate effort",6.8,
"pl","Sports","Tennis, general, competitive",8.0,
"pl","Sports","Tennis, doubles (Taylor Code 430)",6.0,
"pl","Sports","Tennis, doubles",4.5,
"pl","Sports","Tennis, singles (Taylor Code 420)",8.0,
"pl","Sports","Tennis, hitting balls, non-game play, moderate effort",5.0,
"pl","Sports","Trampoline, recreational",6.3,
"pl","Sports","Trampoline, competitive",10.3,
"pl","Sports","Volleyball (Taylor Code 400)",4.0,
"pl","Sports","Volleyball, competitive, in gymnasium",6.0,
"pl","Sports","Volleyball, non-competitive, 6 - 9 member team, general",3.0,
"pl","Sports","Volleyball, beach, in sand",8.0,
"pl","Sports","Wrestling, competitive (one match = 5 minutes)",6.0,
"pl","Sports","Wallyball, general",7.0,
"pl","Sports","Track and field (e.g., shot, discus, hammer throw)",4.0,
